| 第1年春第60日8:00:00 上午 | 紧急避难所 | 111一行开始了他们在大灾变中的冒险。
| 第1年春第61日7:04:35 上午 | 废弃仓库 | 磨损的 <color_c_dark_gray>XX </color>背包 被彻底摧毁了。
| 第1年春第61日7:28:08 上午 | 流浪者收容所 | 被深深的咬了一口。
| 第1年春第61日8:24:44 上午 | 流浪者收容所 | 磨损的 <color_c_dark_gray>XX </color>和服袴裤 被彻底摧毁了。
| 第1年春第61日9:12:33 上午 | 流浪者收容所 | 摔到了窗台下。
| 第1年春第62日5:34:58 上午 | 旷野 | 磨损的 <color_c_dark_gray>XX </color>旅行背包 被彻底摧毁了。
| 第1年春第63日6:52:25 上午 | 民宅 | 被深深的咬了一口。
| 第1年春第63日7:00:22 上午 | 民宅 | 被深深的咬了一口。
| 第1年春第63日7:03:15 上午 | 民宅 | 磨损的 <color_c_dark_gray>XX </color>手提箱（肮脏） 被彻底摧毁了。
| 第1年春第63日7:21:34 上午 | 公路 | 磨损的 <color_c_dark_gray>XX </color>大刀鞘（腰） 被彻底摧毁了。
| 第1年春第63日7:26:44 上午 | 公路 | 磨损的 <color_c_dark_gray>XX </color>兜裆布 被彻底摧毁了。
| 第1年春第63日10:22:01上午 | 亭子 | 磨损的 <color_c_light_red>\. </color>MOLLE战术背包（肮脏） 被彻底摧毁了。
| 第1年春第65日5:40:10 上午 | 地下室 | 被深深的咬了一口。
| 第1年春第69日12:25:22下午 | 森林 | 吐出来了。
| 第1年春第69日12:26:31下午 | 森林 | 吐出来了。
| 第1年春第69日12:26:57下午 | 森林 | 吐出来了。
| 第1年春第69日12:27:51下午 | 森林 | 吐出来了。
| 第1年春第69日12:28:19下午 | 森林 | 吐出来了。
| 第1年春第69日12:28:56下午 | 森林 | 吐出来了。
| 第1年春第69日12:29:13下午 | 森林 | 吐出来了。
| 第1年春第69日12:29:43下午 | 森林 | 吐出来了。
| 第1年春第69日1:03:45 下午 | 森林 | 被孢子入侵感染了。
| 第1年春第69日10:20:08上午 | 旷野 | 磨损的 <color_c_dark_gray>XX </color>军用背包（肮脏） 被彻底摧毁了。
| 第1年春第69日7:51:04 下午 | 旷野 | 杀死了 枭熊。
| 第1年春第70日10:32:00下午 | 筒仓 | 磨损的 <color_c_light_red>\. </color>MOLLE战术背包 被彻底摧毁了。
| 第1年春第70日10:32:00下午 | 筒仓 | 摔到了窗台下。
| 第1年春第71日1:49:56 下午 | 地下室 | 磨损的 <color_c_dark_gray>XX </color>箭筒 被彻底摧毁了。
| 第1年春第71日3:01:53 下午 | 购物广场 | 磨损的 <color_c_dark_gray>XX </color>军用背包 被彻底摧毁了。
| 第1年春第71日3:02:04 下午 | 购物广场 | 磨损的 <color_c_dark_gray>XX </color>信使包 被彻底摧毁了。
| 第1年春第71日3:49:14 下午 | 购物广场 | 磨损的 <color_c_dark_gray>XX </color>信使包 被彻底摧毁了。
| 第1年春第72日2:58:56 上午 | 流浪者收容所 | 魔法阅读灯 法术等级提升。
| 第1年春第72日2:03:12 下午 | 流浪者收容所 | 烹调 技能达到等级 4。
| 第1年春第74日1:17:13 下午 | 农田 | 磨损的 <color_c_dark_gray>XX </color>大型战术背包（肮脏） 被彻底摧毁了。
| 第1年春第74日3:51:54 下午 | 科学实验室 | 磨损的 <color_c_dark_gray>XX </color>军用背包 被彻底摧毁了。
